Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
Divin Mubama,Forward,5,,,0,,,1,0,0,0,,,,,,,,,,0,22,4.40,0,0,,,,0,0,1,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
Mykhailo Mudryk,Midfielder,31,,,21,57%,,7,9,6,3,,50,94,110,39,7,14,,0,2,477,15.39,6,78,19%,5,14,5,0,22,1,5,0,3,2,1,0.16,0,0,35,12,34%,4,,,,,,,,
Marqes Muir,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Romaine Mundle,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Daniel Muñoz,Defender,16,4,22,55,64%,1,3,24,34,14,0,76,102,95,13,26,28,0,0,4,566,35.38,5,11,9%,0,9,4,0,30,8,0,0,0,0,0,,,,,,,,,,,,,,,
Finley Munroe,Defender,1,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Arijanet Muric,Goalkeeper,10,0,16,,,,,,,,,,,,,,,1,2,0,526,52.60,,,,,106,0,0,0,,0,,,,,,,,,,,,64,1,4,19,0,17,54,33
Murillo,Defender,32,3,56,50,62%,3,1,37,185,78,3,146,115,121,20,38,40,1,0,2,"1,444",45.13,2,4,25%,6,117,5,0,38,0,0,0,0,0,1,,,,,,,,,,,,,,,
Harrison Murray-Campbell,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mateusz Musialowski,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Admiral Muskwe,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Vitalii Mykolenko,Defender,28,9,37,69,55%,0,11,36,82,37,1,142,126,97,18,30,27,0,0,0,882,31.50,2,56,23%,2,54,1,0,23,1,2,1,1,0,2,,,,,,,,,,,,,,,
Marvelous Nakamba,Midfielder,13,,,40,60%,,1,11,11,4,,90,56,57,3,4,7,,0,0,415,31.92,0,4,25%,0,19,5,0,24,0,0,0,0,0,0,0.00,0,0,5,0,0%,0,,,,,,,,
Amara Nallo,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Keylor Navas,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Iliman Ndiaye,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Ndiweni,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,2,2.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tanguy Ndombélé,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Kosta Nedeljkovic,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Reiss Nelson,Forward,15,,,9,67%,,2,1,5,1,,22,16,22,1,0,5,,0,0,127,8.47,1,14,21%,0,2,1,0,5,0,0,0,0,0,0,0.00,0,0,4,1,25%,0,,,,,,,,
Nélson Semedo,Defender,36,4,60,79,61%,0,7,36,78,35,0,188,182,166,51,22,28,0,0,1,"1,516",42.11,2,80,16%,2,48,11,1,48,1,0,0,0,0,0,,,,,,,,,,,,,,,
Neto,Goalkeeper,32,7,55,,,,,,,,,,,,,,,0,2,0,902,28.19,,,,,188,5,0,1,,0,,,,,,,,,,,,115,1,26,20,4,16,154,223
Josh Neufville,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Moussa Niakhaté,Defender,21,1,35,42,60%,0,2,14,49,23,1,98,64,24,3,16,5,0,0,0,688,32.76,0,11,9%,0,31,3,1,11,0,1,0,0,0,0,,,,,,,,,,,,,,,
Eddie Nketiah,Forward,27,,,12,,,8,4,4,4,,,,,,,,,,2,209,7.74,2,5,,,,3,0,24,8,5,0,5,0,2,0.19,0,0,38,12,32%,4,,,,,,,,
Christopher Nkunku,Forward,11,,,5,,,3,2,4,1,,,,,,,,,,0,177,16.09,0,4,,,,0,0,8,3,3,1,1,1,0,0.27,0,0,16,9,56%,3,,,,,,,,
Noha Lemina,Forward,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Rhys Norrington-Davies,Defender,5,0,6,1,100%,0,0,1,2,1,0,4,4,7,1,1,1,0,0,0,54,10.80,0,2,0%,0,1,1,0,3,1,0,0,0,0,0,,,,,,,,,,,,,,,
Will Norris,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Oliver Norwood,Midfielder,27,,,41,63%,,4,21,36,14,,98,65,63,1,14,17,,0,0,855,31.67,1,52,31%,2,68,8,0,15,0,1,0,1,0,0,0.04,1,0,15,6,40%,0,,,,,,,,
Darwin Núñez,Forward,36,,,22,,,22,3,9,9,,,,,,,,,,8,465,12.92,11,19,,,,9,0,28,33,11,2,7,2,9,0.31,0,0,108,46,43%,27,,,,,,,,
Nuno Tavares,Defender,8,1,9,11,64%,0,0,1,15,9,0,33,22,18,6,3,2,0,0,0,218,27.25,0,16,13%,0,5,2,0,8,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan Nwaneri,Midfielder,1,,,0,0%,,0,0,0,0,,0,2,1,0,1,0,,0,0,18,18.00,0,0,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Treymaurice Nyoni,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Christian Nørgaard,Midfielder,31,,,81,62%,,12,54,49,33,,216,159,159,6,41,47,,0,1,"1,441",46.48,6,22,27%,8,60,8,0,41,1,2,2,0,0,0,0.06,0,0,35,7,20%,3,,,,,,,,
Jake O'Brien,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Tommi O'Reilly,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Dara O'Shea,Defender,33,1,71,39,51%,1,3,35,158,87,1,140,182,120,1,127,68,1,0,4,"1,732",52.48,3,11,27%,3,110,5,1,36,1,3,3,0,0,0,,,,,,,,,,,,,,,
Michael Obafemi,Forward,2,,,0,,,0,0,0,0,,,,,,,,,,0,5,2.50,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Wilson Odobert,Forward,29,,,17,,,16,6,12,3,,,,,,,,,,2,545,18.79,7,35,,,,3,0,9,1,3,0,2,1,0,0.10,0,0,49,14,29%,2,,,,,,,,
Idris Odutayo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Odeluga Offiah,Defender,4,0,3,1,0%,0,0,1,0,0,0,4,8,4,4,1,1,0,0,0,67,16.75,0,3,0%,0,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Chiedozie Ogbene,Forward,30,,,17,,,17,7,31,17,,,,,,,,,,1,627,20.90,5,79,,,,1,0,8,8,4,1,3,0,1,0.13,0,0,35,14,40%,1,,,,,,,,
Angelo Ogbonna,Defender,11,2,14,11,45%,0,0,3,29,14,0,10,27,9,1,12,7,0,0,0,214,19.45,0,0,0%,0,9,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Habeeb Ogunneye,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Braian Ojeda,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Temple Ojinnaka,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Wesley Okoduwa,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ferdinand Okoh,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Arthur Okonkwo,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Ademola Ola-Adebomi,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Michael Olakigbe,Forward,8,,,3,,,1,1,0,0,,,,,,,,,,0,32,4.00,0,7,,,,0,0,2,1,0,0,0,0,0,0.00,0,0,3,1,33%,0,,,,,,,,
Michael Olise,Midfielder,19,,,19,53%,,21,11,9,3,,68,109,110,40,7,15,,0,6,609,32.05,9,97,26%,7,25,0,0,13,2,10,1,0,9,0,0.53,1,0,57,21,37%,3,,,,,,,,
Robin Olsen,Goalkeeper,5,0,13,,,,,,,,,,,,,,,0,0,0,184,36.80,,,,,20,0,0,0,,0,,,,,,,,,,,,21,1,1,5,3,0,19,27
Andrew Omobamidele,Defender,11,0,15,10,30%,0,1,13,42,24,1,21,20,19,0,8,10,1,1,0,309,28.09,0,0,0%,0,13,2,0,6,0,0,0,0,0,0,,,,,,,,,,,,,,,
Amadou Onana,Midfielder,30,,,71,54%,,8,21,30,16,,160,180,93,12,53,19,,0,0,"1,023",34.10,4,3,33%,6,61,5,0,37,1,2,2,0,0,0,0.07,0,0,29,6,21%,1,,,,,,,,
Ryan Oné,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tyler Onyango,Midfielder,1,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Fred Onyedinma,Midfielder,8,,,10,60%,,1,1,13,7,,10,26,41,2,8,6,,0,0,85,10.63,0,13,8%,0,0,1,0,10,0,0,0,0,0,0,0.00,0,0,5,2,40%,0,,,,,,,,
Frank Onyeka,Midfielder,26,,,37,65%,,8,23,17,7,,73,89,86,11,10,23,,0,2,375,14.42,2,16,31%,2,14,8,0,24,4,1,0,1,0,0,0.04,0,0,22,9,41%,2,,,,,,,,
Lewis Orford,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Divock Origi,Forward,20,,,6,,,4,2,2,1,,,,,,,,,,1,131,6.55,5,13,,,,1,0,14,5,0,0,0,0,0,0.00,0,0,14,4,29%,4,,,,,,,,
Stefan Ortega,Goalkeeper,9,1,7,,,,,,,,,,,,,,,0,0,0,242,26.89,,,,,36,0,0,0,,0,,,,,,,,,,,,20,0,1,6,0,4,24,19
Ben Osborn,Midfielder,24,,,22,41%,,3,8,26,13,,80,44,55,7,6,22,,0,2,506,21.08,1,47,21%,1,23,3,0,8,1,0,0,0,0,0,0.00,0,0,4,0,0%,0,,,,,,,,
Gabriel Osho,Defender,21,2,47,41,54%,0,1,31,88,41,0,103,98,84,7,37,37,0,0,0,705,33.57,0,3,33%,0,27,3,0,23,1,2,2,0,0,0,,,,,,,,,,,,,,,
Detlef Esapa Osong,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
William Osula,Forward,21,,,2,,,6,2,9,3,,,,,,,,,,0,90,4.29,1,2,,,,4,0,15,6,0,0,0,0,0,0.00,0,0,21,8,38%,2,,,,,,,,
Dango Ouattara,Forward,30,,,45,,,10,22,33,14,,,,,,,,,,2,448,14.93,1,36,,,,3,0,15,4,1,1,0,0,0,0.03,0,0,30,7,23%,2,,,,,,,,
Alex Oxlade-Chamberlain,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Maximillian Oyedele,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
David Ozoh,Midfielder,9,,,10,60%,,0,0,2,1,,8,14,14,1,3,5,,0,0,51,5.67,0,0,0%,0,0,1,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Cole Palmer,Midfielder,34,,,23,52%,,33,20,11,3,,105,102,128,52,1,4,,0,11,"1,307",38.44,17,81,20%,27,69,7,0,24,6,22,2,3,17,1,0.65,9,0,109,46,42%,7,,,,,,,,
Jonathan Panzo,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Stefan Parkes,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ben Parkinson,Forward,1,,,0,,,0,0,1,1,,,,,,,,,,0,3,3.00,0,0,,,,0,0,0,1,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Troy Parrott,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Thomas Partey,Midfielder,14,,,14,79%,,3,11,8,2,,56,36,33,9,7,8,,0,0,621,44.36,0,2,100%,3,25,3,0,10,0,0,0,0,0,0,0.00,0,0,8,2,25%,0,,,,,,,,
Maksim Paskotsi,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Travis Patterson,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Bailey Peacock-Farrell,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Ben Pearson,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Myles Peart-Harris,Midfielder,3,,,0,0%,,0,0,1,0,,0,2,9,0,0,5,,0,0,7,2.33,0,1,0%,0,0,0,0,2,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sydie Peck,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,1,1.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Pedro Neto,Forward,20,,,7,,,8,5,2,0,,,,,,,,,,9,589,29.45,7,115,,,,4,0,15,2,2,0,0,2,3,0.10,0,0,36,12,33%,2,,,,,,,,
Facundo Pellistri,Midfielder,9,,,5,60%,,1,1,5,1,,11,22,18,5,6,4,,0,1,74,8.22,0,4,0%,0,0,0,0,4,0,0,0,0,0,0,0.00,0,0,4,2,50%,0,,,,,,,,
Nicolas Pépé,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Aribim Pepple,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Dion Pereira,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Ivan Perisic,Midfielder,5,,,3,67%,,1,2,1,1,,3,13,7,4,5,0,,0,1,61,12.20,2,13,23%,0,2,2,0,2,0,0,0,0,0,0,0.00,0,0,2,0,0%,0,,,,,,,,
Máximo Perrone,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Djordje Petrovic,Goalkeeper,23,5,38,,,,,,,,,,,,,,,0,2,0,707,30.74,,,,,93,2,0,0,,0,,,,,,,,,,,,75,0,8,18,2,14,97,149
Casey Pettit,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Cameron Peupion,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Philippe Coutinho,Midfielder,2,,,0,0%,,0,0,0,0,,1,5,2,4,0,0,,0,0,24,12.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,3,1,33%,0,,,,,,,,
Killian Phillips,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jaden Philogene,Midfielder,1,,,0,0%,,0,0,0,0,,1,0,0,0,0,0,,0,0,4,4.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jordan Pickford,Goalkeeper,38,13,51,,,,,,,,,,,,,,,1,1,0,"1,429",37.61,,,,,400,5,0,1,,0,,,,,,,,,,,,121,0,15,26,6,26,141,273
Axel Piesold,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Ethan Pinnock,Defender,29,5,46,35,66%,0,3,43,167,80,0,131,165,73,6,114,51,0,1,0,"1,398",48.21,1,7,0%,0,71,1,0,4,0,2,2,0,0,0,,,,,,,,,,,,,,,
Cameron Plain,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Luke Plange,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Euan Pollock,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Alfie Pond,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Nick Pope,Goalkeeper,15,5,16,,,,,,,,,,,,,,,0,1,0,311,20.73,,,,,46,1,0,0,,0,,,,,,,,,,,,43,0,10,9,2,11,88,95
Pedro Porro,Defender,35,5,54,91,69%,1,15,34,80,32,0,199,159,147,26,17,14,0,1,7,"1,865",53.29,13,198,19%,14,77,3,0,37,1,3,0,3,0,2,,,,,,,,,,,,,,,
Dan Potts,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Josh Powell,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Aaron Pressley,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Isaac Price,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Sam Proctor,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Christian Pulisic,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Logan Pye,Defender,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Jarell Quansah,Defender,17,2,15,25,88%,0,0,17,39,20,0,72,76,43,4,45,22,0,1,0,"1,165",68.53,0,0,0%,1,44,1,0,10,0,2,1,1,0,0,,,,,,,,,,,,,,,
Andrei Radu,Goalkeeper,2,0,7,,,,,,,,,,,,,,,0,0,0,58,29.00,,,,,8,0,0,0,,0,,,,,,,,,,,,5,0,1,2,0,2,10,11
Jesurun Rak-Sakyi,Midfielder,6,,,4,25%,,4,3,1,0,,6,15,11,4,3,1,,0,0,47,7.83,0,3,0%,0,1,0,0,1,0,0,0,0,0,0,0.00,0,0,5,1,20%,0,,,,,,,,
Calvin Ramsay,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Aaron Ramsdale,Goalkeeper,6,2,5,,,,,,,,,,,,,,,0,1,0,158,26.33,,,,,23,0,0,0,,0,,,,,,,,,,,,9,0,0,7,0,3,30,19
Jacob Ramsey,Midfielder,16,,,16,50%,,4,3,7,2,,42,41,52,8,5,3,,0,1,310,19.38,1,11,18%,3,0,2,0,7,0,1,0,1,0,0,0.06,0,0,19,5,26%,2,,,,,,,,
Darren Randolph,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
Marcus Rashford,Forward,33,,,19,,,23,4,20,13,,,,,,,,,,2,683,20.70,6,35,,,,2,0,13,12,7,0,7,0,2,0.21,2,0,62,21,34%,7,,,,,,,,
David Raya,Goalkeeper,32,16,24,,,,,,,,,,,,,,,0,3,0,906,28.31,,,,,143,2,0,0,,0,,,,,,,,,,,,46,1,5,35,4,18,159,96
Jadan Raymond,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Glen Rea,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
Tim Ream,Defender,18,3,29,20,45%,0,0,25,59,31,1,79,57,40,6,26,19,0,2,0,"1,058",58.78,0,1,0%,0,73,2,1,8,1,1,0,0,1,0,,,,,,,,,,,,,,,
Nathan Redmond,Midfielder,12,,,2,50%,,0,0,3,3,,6,9,12,4,1,1,,0,0,68,5.67,1,3,33%,0,3,1,0,4,2,0,0,0,0,1,0.00,0,0,0,0,0%,0,,,,,,,,
Harrison Reed,Midfielder,27,,,29,62%,,2,11,22,8,,72,53,75,5,10,13,,0,2,722,26.74,2,19,21%,2,21,6,0,26,0,0,0,0,0,0,0.00,0,0,9,2,22%,0,,,,,,,,
Sergio Reguilón,Defender,25,3,28,58,48%,1,6,21,38,15,0,96,119,88,16,20,29,0,1,4,646,25.84,6,101,26%,1,23,7,1,14,4,0,0,0,0,1,,,,,,,,,,,,,,,
Renan Lodi,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sebastian Revan,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Giovanni Reyna,Midfielder,9,,,7,43%,,1,2,0,0,,14,19,23,3,7,9,,0,1,129,14.33,0,8,25%,0,4,0,0,3,0,0,0,0,0,0,0.00,0,0,5,2,40%,0,,,,,,,,
Declan Rice,Midfielder,38,,,83,61%,,23,44,51,29,,178,156,143,21,39,46,,0,8,"2,227",58.61,9,60,35%,2,78,5,0,34,2,7,2,5,0,2,0.18,0,0,58,20,34%,2,,,,,,,,
